nombre_pais,nombre,item1,valor1,item2,valor2
País de publicación: US,Cincinnati Museum Center,Observaciones,3,Especies,1
País de publicación: ES,"Departamento de Biodiversidad, Ecología y Evolución, Unidad Docente de Botánica. Fac. de Ciencias Biológicas, Univ. Complutense de Madrid",Observaciones,3,Especies,3
País de publicación: US,"Eastern Illinois University, Stover-Ebinger Herbarium (EIU)",Observaciones,3,Especies,3
País de publicación: BR,Escola Superior de Agricultura Luiz de Queiroz,Observaciones,3,Especies,3
País de publicación: BE,Ghent University,Observaciones,3,Especies,2
País de publicación: US,Michigan State University Museum,Observaciones,3,Especies,3
País de publicación: CO,Museo Entomológico de Comfenalco - Antioquia,Observaciones,3,Especies,-
País de publicación: US,New Mexico Museum of Natural History and Science,Observaciones,3,Especies,2
País de publicación: US,Paleontological Research Institution,Observaciones,3,Especies,2
País de publicación: TW,Taiwan Forestry Research Institute,Observaciones,3,Especies,1
País de publicación: TT,The University of the West Indies Zoology Museum (UWIZM),Observaciones,3,Especies,1
País de publicación: GB,UK Polar Data Centre,Observaciones,3,Especies,3
País de publicación: CO,Universidad Simón Bolívar,Observaciones,3,Especies,1
País de publicación: BR,Universidade Federal de Pernambuco,Observaciones,3,Especies,3
País de publicación: BR,Universidade de Brasília,Observaciones,3,Especies,2
País de publicación: US,University of North Carolina at Chapel Hill Herbarium (NCU),Observaciones,3,Especies,2
País de publicación: US,Utah State University,Observaciones,3,Especies,2
País de publicación: US,A.J. Cook Arthropod Research Collection,Observaciones,2,Especies,-
País de publicación: AR,"Administración de Parques Nacionales, Argentina",Observaciones,2,Especies,1
País de publicación: US,Bernice Pauahi Bishop Museum,Observaciones,2,Especies,2
País de publicación: US,Cheadle Center for Biodiversity and Ecological Restoration,Observaciones,2,Especies,-
País de publicación: CN,Chinese Academy of Sciences (CAS),Observaciones,2,Especies,1
País de publicación: CO,Corporación San Jorge,Observaciones,2,Especies,2
País de publicación: US,Denver Museum of Nature & Science,Observaciones,2,Especies,-
País de publicación: EE,Estonian University of Life Sciences,Observaciones,2,Especies,-
País de publicación: ES,Herbarium LEB Jaime Andrés Rodríguez. Facultad de Ciencias Biológicas y Ambientales. Universidad de León.,Observaciones,2,Especies,2
País de publicación: RU,Lomonosov Moscow State University,Observaciones,2,Especies,2
País de publicación: BE,Meise Botanic Garden,Observaciones,2,Especies,2
País de publicación: US,New York State Museum (NYSM),Observaciones,2,Especies,2
País de publicación: AU,Queensland Museum,Observaciones,2,Especies,1
País de publicación: US,San Diego Natural History Museum,Observaciones,2,Especies,2
País de publicación: BR,Universidade de Caxias do Sul,Observaciones,2,Especies,2
País de publicación: US,University of Arizona Insect Collection,Observaciones,2,Especies,1
País de publicación: US,University of Colorado Museum of Natural History,Observaciones,2,Especies,1
País de publicación: US,University of Washington Burke Museum,Observaciones,2,Especies,2
País de publicación: DE,naturgucker.de,Observaciones,2,Especies,2
País de publicación: CA,Agriculture and Agri-Food Canada,Observaciones,1,Especies,1
País de publicación: US,Archbold Biological Station,Observaciones,1,Especies,1
País de publicación: CO,Asociación Primatológica Colombiana,Observaciones,1,Especies,1
País de publicación: BE,Belgian Biodiversity Platform,Observaciones,1,Especies,-
País de publicación: DE,BioFresh,Observaciones,1,Especies,1
País de publicación: DE,"Botanischer Garten, TU Dresden",Observaciones,1,Especies,1
País de publicación: US,Brown University Herbarium,Observaciones,1,Especies,-
País de publicación: FR,"CBGP (UMR INRAE, Cirad, IRD, Institut Agro | Montpellier)",Observaciones,1,Especies,1
País de publicación: NL,"Centre for Genetic Resources, The Netherlands",Observaciones,1,Especies,1
País de publicación: ES,"Depto. de Ciencias Ambientales y Recursos Naturales, Universidad de Alicante",Observaciones,1,Especies,1
País de publicación: SE,FishBase,Observaciones,1,Especies,1
País de publicación: BE,Flanders Marine Institute,Observaciones,1,Especies,1
